Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
ashanti,adansi south,akrofrom health centre,health centre,akrofrom,government,6.12385,-1.65387
ashanti,adansi north,akrokerri health centre,health centre,akrokerri,government,6.29513,-1.63224
ashanti,atwima-nwabiagya,akropong health centre,health centre,akropong,government,7.0,-2.0
ashanti,atwima-nwabiagya,akropong maternity home,maternity home,akropong,private,7.0,-2.0
ashanti,adansi south,akutreso health centre,health centre,akutreso,government,6.09619,-1.29292
ashanti,ahafo-ano north,akwasiase dressing station,clinic,akwasiase,quasi-government,6.99498,-2.19887
ashanti,ahafo-ano north,alice memorial maternity clinic,maternity home,tepa,private,6.99961,-2.17134
ashanti,obuasi municipal,all souls clinic,clinic,akaporiso,private,6.19852,-1.62881
ashanti,adansi south,allen health clinic,clinic,wamasi,government,6.08691,-1.69553
ashanti,obuasi municipal,amansan clinic,clinic,aboagye krom,private,6.19128,-1.65044
ashanti,asante-akim north municipal,amantenaman health centre,health centre,nyinamponase,government,6.77005,-1.16254
ashanti,ejisu-juaben municipal,amponsah konadu memorial maternity home,maternity home,bonwire,private,6.79262,-1.47187
ashanti,adansi south,ampunyasi health centre,health centre,ampunyasi,government,6.05519,-1.73677
ashanti,ahafo-ano north,anane aya maternity home,maternity home,akwasiase,private,6.99542,-2.19993
ashanti,asante-akim north municipal,ananekrom health centre,health centre,ananekrom,government,6.91527,-1.01533
ashanti,bosomtwe,anglican (mobile) eye clinic,clinic,jachie,chag,6.56615,-1.52066
ashanti,bosomtwe,atonso/agogo fejiase clinic,clinic,feyiase,private,6.61268,-1.55999
ashanti,bosomtwe,brodekwanu methodis clinic,clinic,brodekwanu,chag,6.53546,-1.35365
ashanti,bosomtwe,camfap maternity clinic,clinic,new kokobiriko (abijan-nkwant,private,6.57933,-1.54404
ashanti,bosomtwe,jachie health centre,health centre,jachie,government,6.56598,-1.52097
ashanti,bosomtwe,kuntenase government hospital,district hospital,kuntenase,government,6.53752,-1.47454
ashanti,bosomtwe,lake bosomtwi methodist clinic,clinic,amakom,chag,6.48398,-1.37362
ashanti,bosomtwe,nyameani methodist clinic,clinic,nyameani,chag,6.56458,-1.43022
ashanti,bosomtwe,piase chps,chps,piase,government,6.59099,-1.45151
ashanti,bosomtwe,sda clinic konkoma,clinic,konkoma,chag,6.51291,-1.34849
ashanti,bosomtwe,sophia maternity home,maternity home,esereso,private,6.63159,-1.56147
ashanti,bosomtwe,st. marys anglican clinic,clinic,apinkra,chag,6.54056,-1.54346
ashanti,bosomtwe,st. micheal hospital,hospital,pramso,chag,6.55872,-1.51247
ashanti,bosomtwe,tetrefu health centre,health centre,tetrefu,government,6.62487,-1.53468
ashanti,bosomtwe,god's grace maternity home,maternity home,aputuagya,private,6.5016785,-1.4144827
ashanti,obuasi municipal,anyinam clinic,clinic,obuasi-anyinam,government,6.19897,-1.68205
ashanti,ahafo-ano north,anyinasuso health centre,health centre,anyinasuso,government,6.95913,-2.10037
ashanti,ahafo-ano north,anyinasuso maternity home,maternity home,anyinasuso,private,6.95871,-2.10015
ashanti,offinso north,anyinasusu sda centre,clinic,anyinasusu,chag,7.01484,-1.70874
ashanti,sekyere afram plains,anyinofi health centre,health centre,anyinofi,government,7.42528,-0.77045
ashanti,mampong municipal,apaa maternity home,maternity home,apaa,private,6.95511,-1.43465
ashanti,ejisu-juaben municipal,apromase health centre,health centre,apromase,government,6.67085,-1.49543
ashanti,mampong municipal,asaam health clinic,health centre,asaam,government,7.11732,-1.46598
ashanti,obuasi municipal,asempa   maternity and clinic,clinic,gausu,private,6.19924,-1.68233
ashanti,atwima-kwanwoma,bebu methodist clinic,clinic,bebu,chag,6.61154,-1.68505
ashanti,atwima-kwanwoma,eye adom maternity home,maternity home,brofoyeduru,private,6.61458,-1.65857
ashanti,atwima-kwanwoma,foase health centre,health centre,foase,government,6.63751,-1.75124
ashanti,atwima-kwanwoma,kwanwoma health centre,health centre,kwanwoma,government,6.62865,-1.63524
ashanti,atwima-kwanwoma,trabuom health centre,health centre,trabuom,government,6.61142,-1.76252
ashanti,atwima-kwanwoma,trede health centre,health centre,trede,government,6.57803,-1.66859
ashanti,atwima-kwanwoma,nweneso iii health centre,health centre,nweneso iii,private,6.5972124,-1.578999399
ashanti,bosome freho,asiwa health centre,health centre,asiwa,government,6.42344,-1.33434
ashanti,adansi north,asokwa health centre,health centre,asokwa,government,6.28068,-1.50786
ashanti,amansie west,essuowin health centre,health centre,assuowin,government,6.53656,-1.86502
ashanti,sekyere central,asubuasu health centre,health centre,asubuasu,government,7.31624,-1.23529
ashanti,atwima-nwabiagya,asuofua health centre,health centre,asuofia,government,7.0,-2.0
ashanti,adansi south,ataasi health centre,health centre,ataasi nkwanta,government,5.96664,-1.36454
ashanti,sekyere central,atonsu health centre,health centre,atonsu,government,7.02372,-1.30912
ashanti,adansi south,atwereboana clinic,clinic,atwereboana,government,5.96235,-1.34213
ashanti,atwima-nwabiagya,atwima clinic,clinic,atwima,government,7.0,-2.0
ashanti,obuasi municipal,avril clinic,clinic,akaporiso,private,6.19802,-1.62953
ashanti,ejura sekyeredumasi,babaso mch,clinic,babaso,government,7.34065,-1.32417
ashanti,asante-akim south,banka health centre,health centre,banka,government,6.29824,-1.21615
ashanti,sekyere afram plains,banko health centre,health centre,banko,government,6.75822,-1.28473
ashanti,asante-akim south,banso sda clinic,clinic,banso,government,6.47584,-1.19674
ashanti,atwima-nwabiagya,barekese health centre,health centre,barekese,government,7.0,-2.0
ashanti,atwima-mponua,barniekrom maternity home,maternity home,barniekrom,government,6.54199,-2.17473
ashanti,asante-akim north municipal,bebome health centre,health centre,bebome,government,6.86725,-1.09566
ashanti,bekwai municipal,bekwai government hospital,district hospital,bekwai,government,6.45605,-1.57857
ashanti,mampong municipal,benim health centre,health centre,benim,government,7.09054,-1.46459
ashanti,sekyere central,beposo health centre,centre,beposo,government,6.98526,-1.35503
ashanti,atwima-mponua,bethel maternity home,maternity home,enyinamoso,private,6.64692,-1.90327
ashanti,ahafo-ano north,betiako health centre,health centre,betiako,government,6.86638,-2.20685
ashanti,atwima-mponua,beyerebon no.5 health centre,health centre,bayerebon,government,6.39211,-2.18134
ashanti,mampong municipal,birem health centre,health centre,birem,government,7.22732,-0.99197
ashanti,afigya-kwabre,boamang health centre,health centre,boamang,government,6.94073,-1.61705
ashanti,sekyere south,boanim health centre,health centre,boanim,government,7.03482,-1.48741
ashanti,adansi north,bodwesango st louis health centre,health centre,bodwesango,chag,6.22249,-1.31031
ashanti,ejisu-juaben municipal,bomfa health centre,health centre,bomfa,government,6.59635,-1.29933
ashanti,asante-akim south,bompata health centre,health centre,bompata,government,6.66727,-1.08393
ashanti,offinso municipal,bonsua health centre,health centre,bonsua,government,6.93485,-1.67615
ashanti,ejisu-juaben municipal,bonwire clinic,clinic,bonwire,private,6.4716,-1.2846
ashanti,obuasi municipal,brahabebome clinic,clinic,brahabebome new site,private,6.19444,-1.63014
ashanti,obuasi municipal,bryant  mission hospital,hospital,boete,private,6.1131,-1.3844
ashanti,obuasi municipal,cecilia maternity  home,maternity home,kwabrafoso,private,6.19886,-1.65574
ashanti,obuasi municipal,central market clinic,clinic,estate extension,private,6.20591,-1.67031
ashanti,kwabre,christ our hope maternity home,maternity home,ntonso,private,6.75486,-1.52744
ashanti,amansie west,christ our saviour clinic,clinic,manso moseaso,chag,6.51142,-1.85217
ashanti,ejisu-juaben municipal,church of christ mission clinic,clinic,adadientam,chag,6.71394,-1.42827
ashanti,ejisu-juaben municipal,church of god clinic,clinic,essienimpong,chag,6.66053,-1.44979
ashanti,atwima-mponua,community health centre,clinic,mpasatia,chag,6.66848,-1.84016
ashanti,sekyere central,cross medical centre,clinic,nsuta,private,7.00829,-1.37595
ashanti,asante-akim north municipal,daasebre maternity home,maternity home,ahenebronuum,private,6.62776,-1.21314
ashanti,sekyere afram plains,dadiase health centre,health centre,dadiase,government,6.88078,-1.36776
ashanti,ejisu-juaben municipal,dakopon hospital,hospital,kwamo,private,6.72086,-1.49322
ashanti,amansie west,datano health post,clinic,datano,chag,6.29398,-1.97098
ashanti,bosome freho,detieso community clinic,clinic,detieso,government,6.47674,-1.44168
ashanti,sekyere south,domeabra health centre,health centre,domeabra,government,6.93864,-1.55757
ashanti,adansi north,dompoase benito menni health centre,health centre,dompoase,chag,6.32282,-1.54468
ashanti,amansie west,dora maternity clinic,maternity home,pakyi  no 2,private,6.4804,-1.4951
ashanti,offinso north,dorcas memorial clinic,clinic,akomadan,chag,7.39694,-1.95297
ashanti,bosome freho,duasi community clinic,clinic,duasi,government,6.46863,-1.39522
ashanti,asante-akim north municipal,dwease health centre,health centre,dwease,government,6.53747,-1.24407
ashanti,asante-akim south,dwendwenase health centre,health centre,dwendwenase,government,6.41223,-1.19934
ashanti,atwima-mponua,ebenezer methodist clinic,clinic,mpasatia,chag,6.65865,-1.84306
ashanti,adansi south,edwafo health centre,health centre,edwafo,government,6.19675,-1.57367
ashanti,sekyere east,effiduase district hospital,district hospital,effiduase,government,6.84739,-1.39373
ashanti,sekyere east,effiduase trust maternity home,maternity home,effiduase,private,6.84821,-1.39412
ashanti,ejisu-juaben municipal,ejisu health centre,health centre,ejisu,government,6.72103,-1.47028
ashanti,ejura sekyeredumasi,ejura district hospital,district hospital,ejura,government,7.38906,-1.35197
ashanti,ejura sekyeredumasi,ejura mch,clinic,ejura,government,7.36556,-1.34358
ashanti,afigya-kwabre,ejuratia health centre,health centre,ejuratia,government,6.82287,-1.52227
ashanti,obuasi municipal,emmanuel  maternity  home,maternity home,boete,private,6.19235,-1.64475
ashanti,ejura sekyeredumasi,enso nyameye maternity home,maternity home,kontokori line,private,7.37894,-1.35796
ashanti,ahafo-ano south,essienkyem health centre,health centre,essienkyem,government,6.97584,-1.84784
ashanti,atwima-nwabiagya,everest hospital,hospital,achiase,private,7.0,-2.0
ashanti,afigya-kwabre,family care hospital,hospital,mowre,private,6.81614,-1.47675
ashanti,kwabre,fawade nkanta clinic,clinic,fawade,private,6.81047,-1.63866
ashanti,adansi north,fomena health centre,health centre,fomena,government,6.28022,-1.51002
ashanti,adansi north,fumso health centre,health centre,fumso,government,6.11048,-1.44854
ashanti,adansi north,fumso-ketewa health centre,health centre,fumso ketewa,government,6.29675,-1.63103
ashanti,afigya-kwabre,gladys maternity home,maternity home,kodie,private,6.78875,-1.56109
ashanti,ejisu-juaben municipal,global evangelical mission hospital,hospital,apromase,chag,6.66903,-1.49298
ashanti,atwima-nwabiagya,god is able maternity home,maternity home,sepase,private,7.0,-2.0
ashanti,ejisu-juaben municipal,grace maternity home and clinic,maternity home,akyawkrom,private,6.73257,-1.46146
ashanti,bosome freho,gyasikrom health centre,clinic,gyasikrom,government,6.40145,-1.47313
ashanti,atwima-mponua,gyreso rch,rch,gyeresu,government,6.47006,-2.41673
ashanti,ejura sekyeredumasi,homako community clinic,clinic,homako,government,7.42915,-1.45106
ashanti,ejisu-juaben municipal,humble maternity home,maternity home,kokobra,private,6.71479,-1.52225
ashanti,ejisu-juaben municipal,huttel health centre,health centre,boamadumase,private,6.61582,-1.34007
ashanti,adansi south,hwidiem community clinic,clinic,hwidiem,government,5.89432,-1.46766
ashanti,obuasi municipal,ideal homoepatic clinic,clinic,obuasi - stadium,private,6.20564,-1.68425
ashanti,sekyere central,isaaka akura health centre,health centre,isaaka akura-afram  plains,private,7.41542,-1.13783
ashanti,afigya-kwabre,jalua  maternity home,maternity home,nkukua buoho,private,6.81462,-1.64877
ashanti,sekyere south,jamasi health centre,health centre,jamasi,government,6.97753,-1.47255
ashanti,sekyere central,jeduako clinic,clinic,jeduako,government,7.09501,-1.20917
ashanti,obuasi municipal,jemina maternity home,maternity home,obuasi central,private,6.20313,-1.66816
ashanti,ejisu-juaben municipal,jesus is lord maternity home,maternity home,tikrom,private,6.73865,-1.51092
ashanti,kwabre,joy maternity home,maternity home,mamponteng,private,6.79962,-1.64543
ashanti,ejisu-juaben municipal,juaben government hospital,district hospital,juaben,government,6.81602,-1.41392
ashanti,asante-akim north municipal,juansa health centre,health centre,juansa,government,6.72336,-1.12734
ashanti,asante-akim south,juaso district hospital,district hospital,juaso,government,6.59223,-1.12113
ashanti,amansie west,keniago chps,chps,keniago,government,6.37344,-2.01764
ashanti,kwabre,kenyasi health centre,health centre,kenyasi,government,6.78507,-1.56655
ashanti,obuasi municipal,kofikrom clinic,clinic,kofi krom,private,6.19624,-1.68043
ashanti,mampong municipal,kofiase health centre,health centre,kofiase,government,7.14113,-1.48363
ashanti,bekwai municipal,kokofu general hospital,hospital,kokofu,government,6.49903,-1.52254
ashanti,sekyere south,kona health centre,health centre,kona,government,6.86776,-1.51231
ashanti,asante-akim north municipal,konongo-odumasi government hospital,district hospital,konongo,government,6.62436,-1.21792
ashanti,mampong municipal,krobo health centre,health centre,krobo,government,7.07457,-1.42352
ashanti,sekyere afram plains,kumawu health centre,health centre,kumawu,government,6.90708,-1.26803
ashanti,asante-akim south,komeso health centre,health centre,kumeso,government,6.46154,-1.06901
ashanti,afigya-kwabre,kwamang health centre,health centre,kwamang,government,6.89664,-1.62457
ashanti,sekyere central,kwamang health centre,health centre,kwamang,government,6.98188,-1.26961
ashanti,ejisu-juaben municipal,kwaso health centre,health centre,kwaso,government,6.62771,-1.44722
ashanti,afigya-kwabre,kyekyewere health centre,health centre,kyekyewere,government,7.14538,-1.63944
ashanti,asante-akim north municipal,life land clinic,clinic,abosomtweagya,private,6.62067,-1.20373
ashanti,atwima-nwabiagya,maakro clinic,clinic,maakro,private,7.0,-2.0
ashanti,ahafo-ano north,matang clinic,clinic,matang,private,6.99615,-2.21651
ashanti,ejisu-juaben municipal,madoma maternity clinic,clinic,besease,chag,6.72093,-1.45015
ashanti,ejisu-juaben municipal,mama tina maternity home,maternity home,kwamo,private,6.71524,-1.50509
ashanti,mampong municipal,mampong district hospital,district hospital,mampong,government,7.04563,-1.40219
ashanti,mampong municipal,mampong quality hospital,hospital,mampong,private,7.04621,-1.40195
ashanti,kwabre,mamponteng health centre,health centre,mamponteng,government,6.83295,-1.47695
ashanti,ahafo-ano north,manfo health centre,health centre,manfo,government,6.94531,-2.23044
ashanti,ahafo-ano south,mankranso hospital,hospital,mankranso,government,6.82076,-1.86278
ashanti,amansie west,manso abore health centre,health centre,manso abore,government,6.44627,-1.97764
ashanti,amansie west,manso edubia health centre,health centre,manso-adubia,government,6.40256,-1.92957
ashanti,amansie west,manso nkwanta maternity home,maternity home,manso nkwanta,private,6.47682,-1.87916
ashanti,amansie west,manso tontokrom health centre,health centre,tontokrom,government,6.24929,-1.99483
ashanti,adansi south,mansonso health centre,health centre,mansonso,government,6.04547,-1.58955
ashanti,amansie central,marben maternity,maternity home,jacobu,private,6.35241,-1.67799
ashanti,kwabre,meduma clinic,clinic,medoma,private,6.79089,-1.56091
ashanti,ejisu-juaben municipal,memorial maternity home,maternity home,okyerekrom,private,6.72122,-1.52589
ashanti,afigya-kwabre,methodist faith healing hospital,district hospital,ankaase,chag,6.84819,-1.54934
ashanti,amansie central,mile 14 community clinic,clinic,mile 14,government,6.22126,-1.82139
ashanti,asante-akim south,morso clinic,clinic,morso,government,6.65518,-1.10681
ashanti,amansie west,mother of god clinic,clinic,esaase,chag,6.55942,-1.89046
ashanti,ahafo-ano south,mpasaso health centre,health centre,mpasaso,government,6.80274,-2.13864
ashanti,amansie west,mpatuom rch,rch,mpatuom,government,6.54088,-1.93215
ashanti,afigya-kwabre,mpobi rch,rch,mpobi,government,6.84775,-1.56165
ashanti,asante-akim south,muranaim health centre,health centre,muronam,government,6.24703,-1.20566
ashanti,mampong municipal,nadaworoma clinic,clinic,mampong new town,private,7.06598,-1.40213
ashanti,atwima-nwabiagya,nana frema maternity home,maternity home,adankwame,private,7.0,-2.0
ashanti,bekwai municipal,nancy powel's clinic,clinic,tebeso #2,chag,6.31788,-1.30804
ashanti,obuasi municipal,neighbourhood    clinic,clinic,abompe    new  site,private,6.21889,-1.67117
ashanti,adansi north,new ayaasi adom maternity home,health centre,new ayaasi,private,6.29641,-1.52338
ashanti,adansi south,new edubiase hospital,district hospital,new edubiase,government,6.05456,-1.39281
ashanti,bekwai municipal,new life clinic,clinic,apau,chag,6.47284,-1.43677
ashanti,amansie west,nipankyeremia chps,chps,nipankyeremia,government,6.37002,-2.15827
ashanti,atwima-nwabiagya,nkawie/toase hospital,hospital,nkawie,government,7.0,-2.0
ashanti,offinso north,nkenkasu district hospital,district hospital,nkenkasu,government,7.31957,-1.90289
ashanti,ejura sekyeredumasi,nkwanta community clinic,clinic,ejura nkwanta,government,7.51378,-1.34725
ashanti,asante-akim south,nnadieso health centre,health centre,nnadieso,government,6.59956,-1.092061
ashanti,ejisu-juaben municipal,nobewam sda clinic,clinic,nobewam,chag,6.62289,-1.23985
ashanti,sekyere central,nsutaman health centre,health centre,nsuta,government,7.00861,-1.38146
ashanti,atwima-mponua,ntobroso health centre,health centre,ntobroso,government,6.53571,-2.04245
ashanti,amansie central,numereso health centre,health centre,numereso,government,6.07568,-1.85459
ashanti,asante-akim north municipal,nutrition rehabilitation centre,clinic,konongo,government,6.79529,-1.08871
ashanti,atwima-nwabiagya,nyama maternity home,maternity home,achiase,private,7.0,-2.0
ashanti,amansie west,nyame akwan maternity,maternity home,mpatoum,private,6.54096,-1.93229
ashanti,atwima-mponua,nyinahin government hospital,district hospital,nyinahin,government,6.60115,-2.10999
ashanti,asante-akim south,obogu health centre,health centre,obogu,government,6.51484,-1.11586
ashanti,adansi south,obonsu clinic,clinic,obonsu,government,5.95324,-1.35225
ashanti,obuasi municipal,obuasi government hospital,hospital,obuasi,government,6.1213,-1.4105
ashanti,amansie west,odaho rch,rch,odaho,government,6.27381,-1.96832
ashanti,offinso municipal,offinso health centre,health centre,offinso,government,6.93782,-1.67504
ashanti,asante-akim south,ofoase health centre,health centre,ofoase,government,6.37813,-1.26746
ashanti,sekyere east,okaikrom health centre,health centre,okaikrom,government,6.82612,-1.30866
ashanti,sekyere central,"catholic clinic, oku",clinic,oku,chag,7.34796,-1.00318
ashanti,afigya-kwabre,owusua maternity home,maternity home,bronkong,private,6.77474,-1.63906
ashanti,sekyere afram plains,oyoko our lady maternity home,maternity home,oyoko,private,6.86521,-1.38976
ashanti,ejisu-juaben municipal,paradyse clinic,clinic,ejisu,private,6.72105,-1.47262
ashanti,sekyere afram plains,peace and comfort maternity clinic,maternity home,kumawu bodomasi,private,6.89428,-1.25522
ashanti,atwima-nwabiagya,peace homeo medical centre,clinic,ntensere,private,7.0,-2.0
ashanti,ejisu-juaben municipal,peminase maternity home,maternity home,peminase,government,6.52668,-1.31086
ashanti,ahafo-ano south,pokukrom health centre,health centre,pokukrom,government,7.00378,-1.95239
ashanti,asante-akim north municipal,praaso health centre,health centre,praaso,government,6.51556,-1.26672
ashanti,offinso municipal,quality care clinic,clinic,offinso adikuro,private,6.95019,-1.67263
ashanti,ejisu-juaben municipal,queen victoria maternity home and clinic,maternity home,serwaa akura,private,6.72345,-1.47869
ashanti,obuasi municipal,redemption bible way clinic and laboratory,clinic,rams hill,private,6.20121,-1.66393
ashanti,amansie west,resolute amansie,clinic,manso nkran,quasi-government,6.34571,-1.98979
ashanti,ejisu-juaben municipal,rev. walker medical centre,clinic,kokobra,private,6.71394,-1.52192
ashanti,asante-akim south,rose maternity home,maternity home,obogu,private,6.52025,-1.12042
ashanti,ahafo-ano south,sabronum  health centre,health centre,sabronum,government,7.08809,-1.89095
ashanti,sekyere south,sacred heart maternity clinic,clinic,bepoase,chag,7.08676,-1.55514
ashanti,atwima-mponua,saakrom health centre,health centre,saakrom,government,6.75871,-2.02993
ashanti,sekyere south,salvation army clinic,hospital,wiamoase,chag,7.05213,-1.52521
ashanti,mampong municipal,sda clinic apaa,clinic,apaa,chag,6.97086,-1.44302
ashanti,bekwai municipal,sda hospital,hospital,dominase,chag,6.3104,-1.3911
ashanti,ejisu-juaben municipal,sda hospital,hospital,onwe,chag,6.68001,-1.54161
ashanti,sekyere south,sda hospital asamang,hospital,asamang,chag,7.05322,-1.50964
ashanti,sekyere south,sda hospital wiamoase,hospital,wiamose,chag,6.90258,-1.43311
ashanti,ejura sekyeredumasi,sekyedumase health centre,health centre,sekyedumase health centre,government,7.31352,-1.57912
ashanti,sekyere east,sekyere health centre,health centre,sekyere,government,6.92692,-1.37465
ashanti,sekyere east,sekyere methodist clinic,clinic,sekyere,chag,6.92646,-1.37494
ashanti,sekyere east,senchie methodist clinic,clinic,senkyi,chag,6.80818,-1.32507
ashanti,amansie west,shalom clinic,health centre,watreso,chag,6.25351,-1.91797
ashanti,bekwai municipal,shalom methodist clinic,clinic,nsuaem #2,chag,6.36494,-1.36645
ashanti,adansi south,sikaman health centre,health centre,sikaman,government,6.11499,-1.58045
ashanti,mampong municipal,sister philipa maternity home,maternity home,mampong kokoase,private,7.05921,-1.39703
ashanti,atwima-mponua,sreso tinpom health centre,health centre,sreso tinpom,government,6.62201,-2.30317
ashanti,sekyere east,st luke clinic,clinic,seniagya,chag,6.79774,-1.32026
ashanti,ejisu-juaben municipal,st. annes maternity clinic,clinic,donyina,chag,6.63994,-1.49782
ashanti,ahafo-ano south,st. anns maternity home,maternity home,essibey nkwata,private,6.84578,-1.76006
ashanti,ejura sekyeredumasi,st. anthony maternity clinic,maternity home,anyinasu,government,7.22643,-1.58011
ashanti,ahafo-ano south,st. edwards clinic,health centre,adwinyama,chag,6.88014,-1.87428
ashanti,ahafo-ano south,st. johns clinic,health centre,domeabra,chag,6.87183,-2.05678
ashanti,kwabre,st. joseph's clinic.,clinic,abira,chag,6.77928,-1.49126
ashanti,obuasi municipal,st. jude hospital  ltd.,hospital,bedieso-obuasi,private,6.20723,-1.68137
ashanti,ejura sekyeredumasi,st. luke hospital kasei,hospital,kasei,chag,7.53953,-1.34637
ashanti,amansie west,st. martin's  hospital,hospital,agroyesum,chag,6.41337,-1.88154
ashanti,amansie west,st. martin's catholic clinic,clinic,abuoso,chag,6.31346,-2.10902
ashanti,bekwai municipal,st. mary's clinic,clinic,yapesa,chag,6.45121,-1.36836
ashanti,ahafo-ano south,st. michael clinic,clinic,dwenwoho,private,6.85935,-1.75623
ashanti,atwima-nwabiagya,st. micheal maternity home,maternity home,achiase,private,7.0,-2.0
ashanti,offinso municipal,st. patricks hospital,hospital,offinso,chag,6.93135,-1.68167
ashanti,atwima-mponua,st. peters clinic,clinic,ntobroso,chag,6.53511,-2.04218
ashanti,amansie central,st. peters' hospital,hospital,jacobu,chag,6.34331,-1.66669
ashanti,bekwai municipal,st. stephen's clinic,clinic,huntade,private,6.4804,-1.4951
ashanti,afigya-kwabre,st. theresa's maternity home,maternity home,atimatim,private,6.76359,-1.61093
ashanti,amansie central,st. thomas general and maternity clinic,clinic,hia,chag,6.20804,-1.77649
ashanti,sekyere afram plains,st. vincent clinic,clinic,drobonso,chag,7.00714,-1.12747
ashanti,ahafo-ano north,subriso health centre,health centre,subriso,government,6.81613,-2.26676
ashanti,ejisu-juaben municipal,super care hospital,hospital,krapa-ejisu,private,6.72023,-1.48104
ashanti,atwima-mponua,tano-odumasi health centre,health centre,tano-odumasi,chag,6.49705,-2.39662
ashanti,ahafo-ano north,tepa district hospital,district hospital,tepa,government,6.99966,-2.16102
ashanti,afigya-kwabre,tetrem health centre,health centre,tetrem,government,7.03743,-1.63735
ashanti,obuasi municipal,the queens maternity home,maternity home,new estate-obuasi,private,6.20762,-1.67233
ashanti,ejisu-juaben municipal,tikrom clinic,clinic,tikrom,government,6.73154,-1.51337
ashanti,bekwai municipal,tinkwamah maternity home,maternity home,amoaful,private,6.45139,-1.56537
ashanti,atwima-nwabiagya,toase clinic,clinic,toase,private,7.0,-2.0
ashanti,obuasi municipal,twumwaa maternity home,maternity home,brahabebome,private,6.19277,-1.62455
ashanti,atwima-mponua,victory christ maternity home,maternity home,mpasatia,private,6.65836,-1.84223
ashanti,obuasi municipal,watt 250 maternity  home,maternity home,kwabrafoso,private,6.19917,-1.65556
ashanti,sekyere afram plains,westphalian hospital complex,hospital,oyoko,private,6.86802,-1.39049
ashanti,sekyere south,wiamoase clinic,clinic,wiamoase,private,7.05264,-1.50265
ashanti,adansi north,wioso health centre,health centre,wioso,government,6.28179,-1.66127
ashanti,ahafo-ano south,wioso methodist clinic,clinic,wioso,chag,6.95583,-2.00654
ashanti,kwabre,wonoo health centre,health centre,sakora wonoo,government,6.79751,-1.50148
ashanti,sekyere afram plains,woraso health centre,health centre,woraso,government,6.87636,-1.27658
ashanti,ejisu-juaben municipal,yaa asantewaa maternity clinic,maternity home,ejisu,private,6.72505,-1.46998
ashanti,ejura sekyeredumasi,zambrama community clinic,clinic,zambrama,government,7.52022,-1.42013
ashanti,asante-akim north municipal,agogo nurses training coll,training institution,agogo,government,6.8769125,-1.020322399
